hhid,cash,female,age25,schooling,health
893,1,1,1,1,.19122897
894,1,1,0,0,1.1367481
895,1,0,1,0,-.3904359
896,1,0,1,0,.066903606
897,1,1,1,0,.91349882
898,1,1,1,0,-.49764869
899,1,1,0,0,.23451045
900,1,0,1,1,1.1240603
901,1,0,1,0,.86763203
902,1,1,1,1,.49832201
903,1,1,1,1,-.65042192
904,1,0,0,1,1.1240603
905,1,0,1,0,-.80387646
906,1,1,1,0,.070030466
907,1,1,1,0,.23451045
908,1,1,0,1,.75092804
909,1,1,1,1,.21902265
910,1,0,1,0,.22182262
911,1,1,1,0,.21902265
912,1,0,1,0,1.1367481
913,1,1,1,0,.070030466
914,1,0,1,0,-1.2549953
915,1,1,1,0,.011261161
916,1,1,1,0,.17574118
917,1,1,1,1,-.4000465
918,1,1,1,0,.070030466
919,1,1,1,1,1.1367481
920,1,1,1,1,-.43505421
921,1,0,0,1,-1.4099144
922,1,1,1,0,-.017921306
923,1,1,1,0,.21902265
924,1,1,1,0,.067967132
925,1,1,1,0,-.067458332
926,1,1,0,0,-.084737763
927,1,1,1,0,.23451045
928,1,1,1,0,1.0934666
929,1,0,0,1,-.54844218
930,1,1,1,0,1.1240603
931,1,1,0,0,-1.5578431
932,1,1,1,1,-.45116085
933,1,0,1,1,-.48281309
934,1,1,1,0,-1.456261
935,1,0,1,1,-1.2119161
936,1,1,1,0,-1.8566428
937,1,1,1,0,.1099451
938,1,0,1,0,1.1367481
939,1,0,1,1,.066903606
940,1,1,0,0,1.1367481
941,1,1,1,0,.68562925
942,1,0,1,1,1.1094729
943,1,1,1,1,.23451045
944,1,1,1,0,-2.6860225
945,1,1,1,0,-.096512876
946,1,1,1,0,.083454907
947,1,1,1,0,.011261161
948,1,1,1,1,1.1367481
949,1,1,0,1,.9722681
950,1,1,1,0,1.1367481
951,1,0,1,1,-2.2531857
952,1,1,1,1,.50501913
953,1,0,0,1,-.39444196
954,1,1,1,0,.070030466
955,1,1,1,0,-1.2423075
956,1,0,1,1,.67294145
957,1,1,1,0,.23451045
958,1,1,1,0,.23451045
959,1,1,1,0,-1.2577952
960,1,1,1,0,1.0134864
961,1,0,0,0,1.1240603
962,1,0,1,0,.12709197
963,1,0,0,1,-1.3173001
964,1,1,1,0,1.1367481
965,1,1,1,1,1.1367481
966,1,1,1,1,-.83447015
967,1,1,1,0,-2.5937107
968,1,0,1,1,-.66742671
969,1,1,1,0,.11124861
970,1,1,0,0,1.0961517
971,1,1,1,0,-.25988984
972,1,1,1,0,-1.285589
973,1,1,1,0,.17574118
974,1,1,1,1,.095230021
975,1,1,1,1,.50566155
976,1,0,0,1,.9691413
977,1,1,1,0,-1.7054142
978,1,1,0,1,.23451045
979,1,0,1,0,.011550508
980,1,1,1,0,.17574118
981,1,1,1,0,.90350127
982,1,0,0,0,.066903606
983,1,1,1,0,-.35588884
984,1,0,1,0,1.1240603
985,1,1,1,0,-.19627355
986,1,1,1,1,1.1367481
987,1,0,1,1,-2.8783622
988,1,0,1,0,1.1240603
989,1,1,1,1,1.1367481
990,1,0,1,0,.51802242
991,1,0,1,0,.9691413
992,1,0,1,1,.9691413
993,1,0,1,1,.090638362
994,1,0,1,1,-.37949264
995,1,0,1,1,1.1240603
996,1,1,0,1,.011261161
997,1,0,1,0,.22182262
998,1,1,1,0,-1.5578431
999,1,1,1,1,-.11253148
1000,1,1,1,0,.12673637
